Latitude,Longitude,Price_INR,Locality,SuperBuiltUpArea_sqft
19.043967,72.803953,28130000,Goregaon East,1552
19.093693,72.765384,35330000,Andheri West,1808
22.649453,88.335985,11760000,Behala,1621
18.5794,73.758859,22450000,Wakad,2599
28.526224,76.940305,13760000,Noida-Sector 76,1636
22.523159,88.339415,10660000,Rajarhat,1435
13.09065,80.288687,33350000,Porur,4163
13.122755,80.303184,34290000,Velachery,3671
19.222176,72.864015,36390000,Powai,2413
13.054684,80.205645,24450000,Porur,2977
22.451613,88.368715,20090000,Tollygunge,2829
19.192004,72.820307,48680000,Bandra West,3491
17.413907,78.351831,10720000,Madhapur,1359
18.997792,72.934926,25000000,Goregaon East,1327
22.549922,88.413377,19660000,Rajarhat,2601
18.640816,73.763785,14810000,Hinjawadi,1722
18.595443,73.77079,12510000,Hinjawadi,1432
22.471132,88.389913,12040000,Behala,1281
22.932679,72.647102,6590000,Satellite,1223
12.910395,80.273835,3670000,Adyar,522
22.925034,72.597059,11580000,Vastrapur,1663
12.965643,80.25529,19870000,Velachery,1802
12.992047,80.2877,16280000,Porur,1785
28.324074,77.162932,17080000,Faridabad-Sector 21,2262
28.382499,77.433852,18740000,Gurugram-DLF Phase 3,1839
23.022274,72.598312,10620000,Vastrapur,2318
23.078576,72.55063,15390000,Satellite,2866
13.068805,80.170198,22040000,Adyar,3128
19.19152,72.870996,28400000,Andheri West,1887
18.912225,72.824493,21230000,Bandra West,1187
22.610473,88.420007,21460000,Rajarhat,3068
28.694045,77.09879,15670000,Noida-Sector 62,1615
19.205793,72.847915,35330000,Navi Mumbai-Kharghar,2322
23.008416,72.606034,21300000,Maninagar,3351
28.426369,77.321121,16530000,Faridabad-Sector 21,1646
13.092331,77.684158,10160000,Indiranagar,936
12.839841,77.590088,5020000,Koramangala,701
13.11137,80.285586,19070000,Adyar,2184
28.621659,77.141966,14210000,Noida-Sector 76,1498
19.203728,72.794349,16740000,Andheri West,1055
18.901735,72.897243,18420000,Powai,1206
22.519059,88.434475,4190000,Rajarhat,581
18.940992,72.923607,6660000,Navi Mumbai-Kharghar,432
18.947742,72.758127,81380000,Goregaon East,3998
17.338072,78.585092,13940000,Banjara Hills,1668
28.785814,77.363991,13500000,Gurugram-Sector 56,1691
18.90236,72.894057,55670000,Powai,2984
18.569331,73.85743,22090000,Baner,2453
19.256842,72.919917,8610000,Navi Mumbai-Kharghar,598
13.181753,80.158084,12450000,Anna Nagar,1666
23.098164,72.666152,11570000,Bopal,2135
28.373433,76.999805,28060000,Noida-Sector 76,2806
18.586874,73.915303,14750000,Aundh,1725
23.127521,72.425145,13540000,Thaltej,2794
22.56553,88.454839,11740000,Behala,1512
23.105057,72.592087,8100000,Satellite,1582
22.901163,72.45251,6440000,Maninagar,1126
18.616435,73.799652,25920000,Baner,2725
28.485598,77.08925,19180000,Noida-Sector 76,1977
19.119425,72.797428,43300000,Vile Parle,1980
12.929692,80.182668,33630000,T Nagar,3679
19.152509,72.864328,39240000,Powai,2474
22.50249,88.331055,15270000,Jadavpur,2574
17.479361,78.572986,31510000,Gachibowli,3729
18.534049,73.907145,27380000,Hinjawadi,2783
12.947583,80.295647,4220000,Velachery,528
19.298789,72.875026,41010000,Mulund,2845
18.613884,73.858321,18390000,Kothrud,2023
19.128405,72.91726,17040000,Thane West,1130
12.887067,77.668864,11950000,Electronic City,1193
13.188496,80.2395,15250000,T Nagar,1779
23.042622,72.570719,13830000,Thaltej,2312
23.0256,72.466239,10500000,Bopal,1793
13.123448,77.481358,8140000,Electronic City,791
18.491802,73.857601,5550000,Viman Nagar,681
23.021166,72.579132,5890000,Maninagar,1131
23.053112,72.587657,10470000,Maninagar,1952
28.689554,76.964063,15150000,Dwarka,1613
18.635421,73.947126,15590000,Wakad,1545
23.029242,72.442672,8180000,Prahlad Nagar,1470
13.184926,80.225736,18170000,OMR,2458
17.430365,78.301972,25630000,Kukatpally,3014
17.286607,78.557822,15870000,Jubilee Hills,1920
17.48902,78.521241,20890000,Banjara Hills,3018
13.113575,77.611865,17290000,Indiranagar,2005
22.540381,88.490145,30270000,Salt Lake,2890
28.643526,77.256573,26980000,Noida-Sector 62,2269
28.521824,76.978044,9090000,Noida-Sector 62,1167
22.573388,88.482572,15380000,Tollygunge,1842
13.192168,80.226763,26860000,Anna Nagar,2650
18.630651,73.877227,11140000,Kharadi,1107
17.345438,78.414837,39130000,Banjara Hills,3822
13.027432,80.151486,13110000,Velachery,1725
18.540807,73.931211,23330000,Kothrud,2397
17.383996,78.542352,17930000,Gachibowli,2796
18.52596,73.891122,45630000,Aundh,3893
22.452392,88.31954,30120000,Behala,4080
12.93398,77.566429,14840000,Marathahalli,1486
19.180022,72.930924,35670000,Thane West,2434
18.576123,73.821852,17260000,Kharadi,2267
17.446149,78.441366,19270000,Banjara Hills,2487
13.043704,77.643693,24450000,Marathahalli,2484
13.147945,80.21024,25750000,Adyar,2567
28.379023,76.917439,6040000,Noida-Sector 62,629
28.368251,77.410991,9120000,Gurugram-Sector 56,1133
28.666738,77.20253,15910000,Gurugram-Sector 56,1515
28.532148,77.280041,14800000,Gurugram-DLF Phase 3,1699
12.883521,77.489745,6610000,Sarjapur Road,766
17.336512,78.586988,13990000,Gachibowli,1863
12.991949,80.307854,10660000,OMR,1343
12.990468,80.334087,16510000,Velachery,2078
18.539195,73.768496,42770000,Hinjawadi,3998
12.901022,77.731985,10170000,Hebbal,1164
12.891937,77.784609,22170000,Sarjapur Road,1921
12.94683,77.769237,36350000,Sarjapur Road,3379
22.572686,88.466283,10790000,Jadavpur,1323
17.255642,78.445276,22530000,Kukatpally,2611
12.860121,77.713906,16410000,Marathahalli,1628
22.560783,88.358118,7850000,Behala,1160
18.56873,73.901261,12360000,Viman Nagar,1388
18.502333,73.818723,16520000,Baner,2018
23.142718,72.585082,13990000,Satellite,2451
22.622674,88.41361,11330000,Behala,1343
28.583214,77.218638,12620000,Noida-Sector 62,1699
18.599287,73.903106,21940000,Kothrud,2249
28.726261,77.478272,6930000,Noida-Sector 76,960
13.060386,77.777425,27970000,Yelahanka,2642
18.948822,72.923391,86820000,Vile Parle,5053
13.092412,80.186748,45140000,OMR,5697
13.176934,80.279421,10670000,Porur,1174
22.487873,88.336074,21110000,New Town,2329
22.584252,88.326448,9480000,Jadavpur,1117
17.304942,78.441074,28840000,Gachibowli,3237
13.012067,80.33583,15950000,Adyar,1780
22.905128,72.462467,14160000,Bopal,2815
12.967269,80.287247,60120000,Anna Nagar,6233
17.485853,78.552873,14540000,Manikonda,1674
12.926291,80.177023,13820000,Velachery,1400
28.724308,77.342247,14360000,Gurugram-Sector 56,1608
23.113363,72.61456,12060000,Prahlad Nagar,2332
13.142045,80.217547,21340000,T Nagar,2145
13.066688,77.624437,27980000,Whitefield,2461
18.466956,73.812961,11960000,Hinjawadi,1354
17.261091,78.400348,16810000,Banjara Hills,1754
23.041399,72.668302,6650000,Thaltej,1112
28.59412,77.211367,21780000,Gurugram-Sector 56,2605
12.988194,80.155596,21370000,OMR,2149
12.989348,77.785328,22400000,Whitefield,2221
12.808142,77.602956,46500000,HSR Layout,3624
17.534807,78.380786,8080000,Banjara Hills,1212
13.044656,80.269574,9420000,Anna Nagar,1318
19.265607,72.776745,39360000,Powai,2003
12.831488,77.664705,21840000,Hebbal,2674
18.909247,72.943962,8740000,Powai,672
18.978751,72.815845,24170000,Navi Mumbai-Kharghar,1415
22.510294,88.425237,9210000,Salt Lake,1237
23.005252,72.617387,7050000,Vastrapur,1425
13.107724,80.320402,14250000,Velachery,1437
28.592843,77.35932,16970000,Noida-Sector 76,2123
17.363459,78.412277,16880000,Gachibowli,2312
17.392127,78.474356,8140000,Manikonda,1125
12.979687,80.165178,19040000,Porur,2263
22.623093,88.345516,20350000,New Town,2364
18.961476,72.940528,17170000,Goregaon East,1003
12.820109,77.631486,9740000,Banashankari,1125
13.163772,80.242041,11680000,Porur,1316
12.92296,80.171045,22570000,OMR,2207
19.113862,72.82817,16240000,Thane West,943
12.858759,77.508467,21920000,Yelahanka,2265
22.589263,88.43558,10910000,Tollygunge,1509
18.457581,73.934682,13760000,Baner,1654
17.44031,78.34246,18950000,Manikonda,2422
28.679429,77.452919,16310000,Noida-Sector 76,1738
18.482472,73.90259,16320000,Wakad,1704
28.754975,77.425604,22890000,Gurugram-DLF Phase 3,2487
12.931128,77.696417,27000000,Marathahalli,3631
19.132978,72.947524,43590000,Vile Parle,3040
22.532625,88.337587,3390000,Jadavpur,467
19.298522,72.947444,51250000,Powai,3350
22.955888,72.434707,13130000,Satellite,2290
23.024958,72.536735,5840000,Maninagar,1167
18.559589,73.817482,12580000,Kothrud,1372
13.152498,80.335197,39350000,Anna Nagar,4173
22.905757,72.571895,7060000,Bodakdev,1118
12.8137,77.651278,18650000,Hebbal,2127
23.050536,72.464812,19470000,Satellite,3735
18.926384,72.878035,15310000,Bandra West,1072
13.030147,77.499935,20770000,Koramangala,2197
22.452139,88.489679,9330000,Behala,1414
23.02858,72.446113,2270000,Vastrapur,533
13.144025,77.491577,20650000,Electronic City,2794
12.945749,80.252248,33390000,Adyar,2842
13.052959,80.278775,26490000,Velachery,2176
28.485796,77.290149,23990000,Noida-Sector 62,2952
18.463542,73.833801,12480000,Kharadi,1219
19.082176,72.891551,83640000,Vile Parle,5770
17.315784,78.589568,19950000,Madhapur,2540
28.45508,77.431152,15410000,Dwarka,1672
22.976846,72.543673,6680000,Prahlad Nagar,1068
23.049903,72.60383,7940000,Satellite,1629
12.863655,77.584756,5960000,Whitefield,698
18.61975,73.923355,13330000,Viman Nagar,1768
13.109569,80.209902,37570000,OMR,3886
22.998073,72.646751,11500000,Vastrapur,2116
19.125919,72.862748,15640000,Thane West,1056
22.580844,88.453765,15070000,New Town,1714
18.927265,72.865302,6180000,Andheri West,449
18.525164,73.864027,12700000,Kharadi,1419
13.127761,77.576522,20150000,Yelahanka,1972
19.124363,72.928756,28280000,Powai,2213
18.565367,73.752874,16330000,Wakad,1650
19.098562,72.900345,27340000,Mulund,1645
28.316337,76.915748,10300000,Dwarka,943
19.150927,72.802046,32690000,Andheri West,2324
12.960695,77.658563,17300000,Sarjapur Road,1896
12.855436,77.709594,22040000,Electronic City,1890
28.69705,77.472257,54200000,Gurugram-Sector 56,6030
12.859899,77.564406,22980000,Hebbal,2411
22.925686,72.467204,6850000,Maninagar,1489
23.088259,72.66634,2200000,Bopal,438
28.729229,77.356293,13660000,Gurugram-Sector 56,1330
19.058771,72.83617,16690000,Thane West,1164
18.519527,73.807599,18810000,Viman Nagar,2239
12.838285,77.736624,14830000,Koramangala,1669
22.491262,88.317855,14850000,Rajarhat,1764
22.549785,88.437105,11980000,Tollygunge,1501
17.309018,78.475567,6460000,Manikonda,807
17.343978,78.580464,10880000,Kondapur,1600
17.428302,78.546582,13960000,Manikonda,1637
18.454931,73.851161,20630000,Wakad,2506
18.463642,73.917865,14260000,Hinjawadi,1704
22.634475,88.312385,11690000,Rajarhat,1692
13.063974,80.164393,11410000,Sholinganallur,1183
13.161733,80.181573,12710000,Porur,1432
17.429444,78.48373,10500000,Kukatpally,1514
28.791267,77.120625,11740000,Gurugram-Sector 56,1149
22.951465,72.611577,25540000,Thaltej,4724
22.454258,88.467265,5790000,Jadavpur,707
28.768988,77.178102,12990000,Gurugram-DLF Phase 3,1506
17.383143,78.30518,31300000,Gachibowli,2850
13.14719,77.791349,15040000,Electronic City,1569
28.312768,77.265423,13150000,Noida-Sector 62,1540
19.031474,72.909801,134200000,Powai,6889
12.976759,77.50194,21650000,Banashankari,2536
13.114424,77.657017,5580000,Koramangala,683
18.565966,73.918813,12490000,Kothrud,1612
22.547673,88.46448,10480000,Salt Lake,1344
28.474352,77.218277,9680000,Faridabad-Sector 21,1050
28.433962,77.029064,47470000,Gurugram-Sector 56,4190
18.603368,73.860579,21260000,Kothrud,2332
22.581055,88.326239,15540000,Behala,2326
12.983567,80.206885,35240000,Adyar,3273
23.080758,72.569992,14490000,Vastrapur,2306
17.391148,78.597993,19610000,Kondapur,2643
28.593659,77.359633,41060000,Noida-Sector 62,4926
28.455881,77.213191,31630000,Gurugram-Sector 56,2466
17.251684,78.393117,21450000,Kukatpally,2587
17.383013,78.513177,46400000,Jubilee Hills,5238
12.849149,77.560439,23670000,Koramangala,2128
18.45629,73.77306,30050000,Aundh,4208
23.069639,72.490052,9350000,Satellite,1685
13.164886,80.210256,5220000,Anna Nagar,747
28.731233,77.38213,6200000,Gurugram-DLF Phase 3,711
17.462269,78.377351,24210000,Kukatpally,3296
22.576584,88.38622,17250000,Tollygunge,2053
22.552808,88.470849,18980000,Salt Lake,2841
19.055616,72.935975,34490000,Bandra West,2245
22.905852,72.692007,2650000,Bopal,660
17.39845,78.439174,3530000,Madhapur,475
19.083108,72.894612,56160000,Goregaon East,2797
18.626671,73.857468,23230000,Wakad,2546
23.124799,72.547473,14050000,Maninagar,2903
17.340887,78.47527,12010000,Gachibowli,1513
22.489388,88.399758,14780000,Rajarhat,1860
12.814081,77.663198,11020000,Banashankari,1291
18.50035,73.831434,14250000,Baner,1504
17.308079,78.332614,29460000,Kukatpally,3585
28.690614,77.134038,20950000,Gurugram-DLF Phase 3,2398
17.463421,78.394188,16300000,Gachibowli,2502
17.277643,78.467487,9870000,Kondapur,1130
17.295148,78.556672,14530000,Banjara Hills,1911
28.313648,77.426583,12440000,Dwarka,1138
18.906458,72.826006,26430000,Powai,1711
19.065951,72.781497,52950000,Vile Parle,3815
17.277637,78.596457,20820000,Banjara Hills,3083
17.281568,78.367867,14700000,Madhapur,1914
18.904685,72.846155,32870000,Mulund,2091
22.474056,88.442539,16470000,Tollygunge,1748
28.570411,77.473078,5400000,Gurugram-DLF Phase 3,657
17.271159,78.589007,12770000,Gachibowli,1461
12.878622,77.486068,7800000,Hebbal,782
17.418201,78.551224,15210000,Manikonda,1779
28.446138,77.147286,19990000,Noida-Sector 62,2237
17.399158,78.355858,13070000,Manikonda,1417
17.421032,78.324663,25360000,Kondapur,2883
28.515657,77.118709,22130000,Noida-Sector 76,2531
13.027597,77.763545,35860000,Hebbal,3599
19.14554,72.855954,36120000,Bandra West,2001
12.879324,77.794973,52770000,Marathahalli,3912
23.011277,72.586625,9660000,Bodakdev,1912
13.047673,77.743672,15670000,Electronic City,1709
22.511424,88.417494,8780000,New Town,1077
18.901896,72.798077,33160000,Bandra West,1837
17.457757,78.31254,18500000,Banjara Hills,2741
17.261409,78.416419,18670000,Kukatpally,2194
28.735669,76.94163,11930000,Dwarka,1212
13.042928,80.264298,15870000,Sholinganallur,1515
13.196247,80.175005,12380000,OMR,1445
12.959823,80.217537,14500000,Sholinganallur,1485
13.179469,80.221339,15140000,Sholinganallur,1677
17.279121,78.311814,14050000,Gachibowli,1683
23.055466,72.577097,15830000,Vastrapur,2284
17.490944,78.556088,9710000,Jubilee Hills,1052
12.824634,77.653964,4480000,Banashankari,496
12.923867,80.344838,15810000,Adyar,1575
19.290867,72.8849,42480000,Navi Mumbai-Kharghar,3063
18.624672,73.907653,20950000,Hinjawadi,2465
23.051954,72.442443,11500000,Vastrapur,1827
12.958313,80.175427,14390000,T Nagar,1473
13.088693,77.618894,29420000,Yelahanka,3054
13.019061,77.644343,31740000,Indiranagar,3337
12.822357,77.473763,4540000,Whitefield,600
23.137492,72.686326,9130000,Prahlad Nagar,1589
13.06396,77.539697,6960000,Whitefield,894
13.101125,77.522223,7570000,Whitefield,808
28.670923,77.123693,35290000,Gurugram-Sector 56,4361
12.944348,77.790517,4430000,Whitefield,607
28.75091,77.335719,54700000,Gurugram-DLF Phase 3,5958
18.608456,73.914937,10460000,Kothrud,1385
28.547601,77.449506,23880000,Faridabad-Sector 21,2356
28.549997,77.110898,19010000,Gurugram-DLF Phase 3,2346
23.115679,72.63425,5990000,Vastrapur,1119
18.631082,73.904493,3850000,Wakad,471
13.020398,80.333855,28040000,Velachery,3179
13.101205,77.730429,8240000,Koramangala,924
13.034949,80.317274,33290000,Porur,3714
18.517415,73.888285,22920000,Aundh,2646
22.609606,88.41635,10830000,New Town,1450
28.790848,77.257163,10420000,Noida-Sector 76,1393
17.301553,78.58992,16390000,Madhapur,2197
19.200278,72.754605,33620000,Thane West,1934
28.656535,76.913128,7730000,Noida-Sector 62,853
17.50755,78.383554,7780000,Banjara Hills,1054
13.136073,80.215096,19530000,Anna Nagar,2153
22.638657,88.370787,10460000,Rajarhat,1192
22.630733,88.350584,14060000,Tollygunge,1980
22.454937,88.343739,27130000,Salt Lake,3690
18.52888,73.758378,13140000,Aundh,1553
22.969741,72.578155,3720000,Bodakdev,741
17.274339,78.348734,6150000,Manikonda,789
22.480009,88.385709,10800000,Salt Lake,1455
22.506889,88.312989,4270000,Jadavpur,676
18.604073,73.887545,21910000,Aundh,2841
18.623835,73.782836,11970000,Kothrud,1366
13.189243,80.268195,9920000,OMR,1101
18.459553,73.765221,20030000,Viman Nagar,2066
23.082754,72.450707,12910000,Vastrapur,1962
12.861739,77.732311,48150000,Marathahalli,4350
13.189223,80.177384,16070000,Porur,1684
22.91227,72.493447,16780000,Bodakdev,2345
13.006799,77.646417,12120000,Yelahanka,1153
12.987812,80.177242,67210000,Sholinganallur,6128
12.896792,77.489415,24710000,Yelahanka,2537
22.481721,88.456279,24850000,Tollygunge,2962
12.889184,77.484592,14480000,Sarjapur Road,1396
13.152573,80.270314,12890000,Sholinganallur,1602
28.428228,77.450922,19880000,Noida-Sector 76,1720
28.676664,77.233772,13240000,Gurugram-Sector 56,1490
28.64222,77.43574,11300000,Gurugram-DLF Phase 3,1287
22.624945,88.32307,28150000,Behala,3556
13.140861,80.194102,18740000,Adyar,1836
22.525809,88.323032,6280000,Salt Lake,731
13.053365,77.546278,17390000,Koramangala,2134
13.159575,80.200563,13620000,Porur,1659
28.484128,77.335137,20270000,Ghaziabad-Indirapuram,2372
22.622617,88.402596,40790000,Tollygunge,4840
17.491784,78.327017,18860000,Jubilee Hills,2072
18.452134,73.786966,14020000,Wakad,1565
19.155715,72.865006,33100000,Mulund,2000
12.912856,80.223367,16780000,Velachery,2428
19.281115,72.903519,88590000,Andheri West,5260
12.930742,80.224113,16030000,T Nagar,1946
18.52682,73.940387,14210000,Hinjawadi,1754
28.454751,77.465819,22630000,Gurugram-Sector 56,2273
22.995608,72.513489,7560000,Thaltej,1250
22.570078,88.481468,20260000,Rajarhat,2264
22.955128,72.48394,17150000,Bodakdev,2467
13.181173,80.340839,10690000,T Nagar,978
13.063557,80.21142,18260000,Sholinganallur,2263
17.426698,78.548197,9500000,Gachibowli,1297
28.539161,76.936653,20160000,Dwarka,2379
13.194511,80.177749,9370000,Velachery,1048
23.012966,72.563708,17450000,Satellite,3483
28.460058,77.246083,25380000,Ghaziabad-Indirapuram,2221
17.388206,78.41822,45640000,Gachibowli,5461
28.411135,77.217845,31270000,Dwarka,2817
17.499907,78.400085,29980000,Banjara Hills,3218
28.696227,76.921115,15090000,Faridabad-Sector 21,1626
18.517457,73.89816,7230000,Kharadi,840
19.267696,72.807583,40480000,Bandra West,2615
13.036808,80.307385,39220000,Porur,3953
22.607442,88.445661,18050000,New Town,2651
19.06715,72.847821,74700000,Bandra West,3591
18.593753,73.792847,19500000,Viman Nagar,1714
12.971039,80.256998,12430000,Porur,1472
12.967289,77.678814,3730000,Sarjapur Road,467
12.842335,77.702585,23280000,Koramangala,2628
28.375064,77.072028,11400000,Noida-Sector 76,1450
23.111586,72.477807,25360000,Thaltej,4111
17.455335,78.492612,10260000,Gachibowli,1361
18.474527,73.791444,18490000,Hinjawadi,1906
22.919927,72.41434,8020000,Prahlad Nagar,1593
13.166891,80.237362,10120000,Anna Nagar,1259
12.801059,77.537252,54420000,Indiranagar,4075
18.99332,72.784839,50390000,Vile Parle,3531
23.065189,72.597779,21360000,Bodakdev,3683
18.552629,73.93542,5460000,Wakad,646
18.638654,73.884055,11760000,Kothrud,1528
22.635245,88.440402,20400000,Behala,2700
23.146253,72.518557,4800000,Satellite,987
13.121423,77.562426,4900000,Sarjapur Road,615
12.895025,77.604998,7660000,Yelahanka,917
28.722409,77.368628,22650000,Faridabad-Sector 21,2297
19.019485,72.944255,21490000,Thane West,1523
19.047812,72.909786,24040000,Andheri West,1700
18.921388,72.855752,79770000,Vile Parle,4624
13.12193,80.323974,48840000,Anna Nagar,4224
18.520726,73.752523,29490000,Kothrud,2675
28.72128,77.107204,31890000,Noida-Sector 62,2989
13.067517,77.659598,26000000,Electronic City,2772
12.937164,77.735919,29910000,Sarjapur Road,3790
12.866273,77.584301,13600000,Whitefield,1743
18.640499,73.867665,23720000,Hinjawadi,2193
19.121584,72.825584,15730000,Mulund,993
13.030723,80.185405,9310000,Adyar,1048
17.373003,78.585192,16000000,Madhapur,2063
17.3034,78.439147,12980000,Gachibowli,1665
18.554381,73.832641,9080000,Kharadi,931
12.97681,80.302788,10730000,OMR,1365
22.590539,88.333638,17110000,Salt Lake,1850
12.953322,77.465339,25390000,Koramangala,2442
23.007102,72.551945,16770000,Satellite,4000
12.922106,80.227371,17720000,T Nagar,1915
28.427552,77.439306,5280000,Ghaziabad-Indirapuram,600
17.365208,78.433222,4470000,Jubilee Hills,697
13.011429,80.260048,27480000,Velachery,2750
22.96925,72.614318,7080000,Maninagar,1180
12.906875,80.18238,10140000,T Nagar,1011
28.720717,77.444447,19550000,Gurugram-Sector 56,1715
17.306932,78.553953,13920000,Kondapur,1820
22.594033,88.492481,19470000,Tollygunge,2580
22.990123,72.471979,7050000,Thaltej,1514
17.304517,78.556035,13070000,Madhapur,1626
17.410247,78.505878,55200000,Gachibowli,5709
17.530128,78.503012,12100000,Jubilee Hills,1632
18.926285,72.787262,19440000,Thane West,1164
19.0409,72.92865,24500000,Powai,1226
13.129347,80.311385,15640000,Adyar,1666
13.194741,80.178327,15360000,Sholinganallur,1706
13.105102,80.248355,20200000,Sholinganallur,2343
12.830267,77.792074,27670000,HSR Layout,2697
28.585787,77.351139,10950000,Ghaziabad-Indirapuram,1141
18.497446,73.87748,22380000,Baner,2451
22.901722,72.414982,12100000,Prahlad Nagar,2557
17.419514,78.484938,10490000,Gachibowli,1524
18.53279,73.836925,14790000,Kothrud,1721
12.844906,77.703033,14240000,Yelahanka,1787
22.969534,72.529851,4360000,Thaltej,821
12.891382,77.576174,32800000,HSR Layout,3289
12.909801,80.308294,14260000,Velachery,1717
12.86964,77.496717,8670000,Electronic City,1006
28.328333,77.066796,15130000,Gurugram-DLF Phase 3,1736
17.514929,78.438771,4920000,Kukatpally,764
13.117412,80.179487,11370000,Anna Nagar,1300
18.520992,73.869636,12940000,Viman Nagar,1600
12.99142,80.318124,22670000,Velachery,2367
22.544833,88.458958,32100000,Salt Lake,4030
13.029439,80.1652,8700000,Velachery,914
23.147858,72.489386,7480000,Maninagar,1666
23.052629,72.614458,7650000,Bodakdev,1441
12.869707,77.707375,36000000,Indiranagar,3628
13.109252,80.182803,10910000,T Nagar,1232
28.400563,77.035365,14840000,Gurugram-DLF Phase 3,1819
18.47009,73.880838,40010000,Hinjawadi,3549
19.102892,72.863101,22020000,Thane West,1254
23.054452,72.571294,6200000,Vastrapur,1107
22.473654,88.477526,10010000,New Town,1580
17.294813,78.588039,20680000,Jubilee Hills,2262
22.632453,88.430726,28100000,Jadavpur,3744
17.291078,78.579732,22750000,Jubilee Hills,3225
17.280488,78.510455,27450000,Banjara Hills,3275
28.656401,77.087577,31980000,Dwarka,3686
17.310952,78.400011,14180000,Kondapur,1582
12.936668,80.288302,47740000,OMR,3914
22.575821,88.386002,16370000,Behala,2230
23.04026,72.663053,2740000,Prahlad Nagar,593
13.048902,80.32477,23370000,Adyar,2293
12.955853,77.651982,13210000,Marathahalli,1318
23.113208,72.695428,23870000,Thaltej,4670
13.019321,77.640593,7690000,Whitefield,898
19.265645,72.808997,29370000,Thane West,1927
22.451655,88.328542,4630000,Jadavpur,781
22.557528,88.478551,28210000,New Town,2834
19.079803,72.91588,86040000,Navi Mumbai-Kharghar,3893
13.048424,80.268313,6990000,T Nagar,718
17.488035,78.355657,57730000,Gachibowli,6353
19.065642,72.777108,22730000,Powai,1499
22.487128,88.30499,13040000,Rajarhat,1342
12.894457,77.478799,15190000,Electronic City,1572
22.995566,72.439424,11510000,Satellite,2162
17.496259,78.467247,22390000,Kukatpally,3411
28.384086,77.498723,25040000,Noida-Sector 76,2736
22.934716,72.548342,5880000,Bodakdev,1067
22.640618,88.316496,16740000,Tollygunge,1994
17.278647,78.465161,23330000,Madhapur,2668
18.644188,73.832317,17960000,Viman Nagar,1625
